datetime,pm2.5,pm10
2019-03-03T17:55:18.202086,3.7,13.3
2019-03-03T17:55:19.303906,3.7,12.1
2019-03-03T17:55:20.406213,3.8,12.6
2019-03-03T17:55:21.508297,3.9,13.0
2019-03-03T17:55:22.610557,3.8,12.9
2019-03-03T17:55:23.712684,3.7,14.3
2019-03-03T17:55:24.814916,3.7,14.2
2019-03-03T17:55:25.921257,3.8,14.8
2019-03-03T17:55:27.023370,3.9,15.1
2019-03-03T17:55:28.125751,4.0,15.4
2019-03-03T17:55:29.227702,4.0,14.3
2019-03-03T17:55:30.330107,4.1,14.8
2019-03-03T17:55:31.432290,4.1,14.8
2019-03-03T17:55:32.534586,4.0,14.8
2019-03-03T17:55:33.636560,3.9,14.5
2019-03-03T17:55:34.738863,3.9,14.6
2019-03-03T17:55:35.841238,3.9,14.9
2019-03-03T17:55:36.947560,3.9,14.8
2019-03-03T17:55:38.049867,3.8,14.8
2019-03-03T17:55:39.152201,3.7,14.1
2019-03-03T17:55:40.254417,3.7,14.0
2019-03-03T17:55:41.356605,3.6,13.3
2019-03-03T17:55:42.458939,3.5,13.3
2019-03-03T17:55:43.561074,3.5,13.1
2019-03-03T17:55:44.663413,3.6,14.3
2019-03-03T17:55:45.765740,3.7,15.6
2019-03-03T17:55:46.867962,3.7,15.5
2019-03-03T17:55:47.974211,3.7,15.7
2019-03-03T17:55:49.084451,3.7,15.7
2019-03-03T17:55:50.178672,3.7,15.4
2019-03-03T17:55:51.280999,3.6,15.0
2019-03-03T17:55:52.383148,3.5,15.0
2019-03-03T17:55:53.486542,3.5,13.7
2019-03-03T17:55:54.587719,3.5,13.6
2019-03-03T17:55:55.689886,3.5,13.1
2019-03-03T17:55:56.792016,3.5,14.2
2019-03-03T17:55:57.894170,3.5,14.0
2019-03-03T17:55:59.000505,3.5,13.7
2019-03-03T17:56:00.102690,3.4,13.3
2019-03-03T17:56:01.205071,3.4,13.5
2019-03-03T17:56:02.307006,3.4,12.9
2019-03-03T17:56:03.409250,3.4,13.0
2019-03-03T17:56:04.511380,3.5,13.3
2019-03-03T17:56:05.613749,3.4,12.9
2019-03-03T17:56:06.715805,3.4,12.9
2019-03-03T17:56:07.817781,3.4,13.3
2019-03-03T17:56:08.919787,3.4,13.4
2019-03-03T17:56:10.025836,3.4,13.5
2019-03-03T17:56:11.127990,3.5,13.7
2019-03-03T17:56:12.230198,3.5,13.8
2019-03-03T17:56:13.333382,3.6,13.9
2019-03-03T17:56:14.434735,3.5,12.6
2019-03-03T17:56:15.536788,3.5,11.6
2019-03-03T17:56:16.638769,3.5,12.1
2019-03-03T17:56:17.741083,3.4,11.9
2019-03-03T17:56:18.843069,3.4,11.7
2019-03-03T17:56:19.945341,3.4,11.6
2019-03-03T17:56:21.051366,3.4,11.6
2019-03-03T17:56:22.153607,3.4,11.6
2019-03-03T17:56:23.255845,3.4,11.7
2019-03-03T17:56:24.357980,3.4,11.9
2019-03-03T17:56:25.459889,3.4,12.2
2019-03-03T17:56:26.562178,3.5,11.1
2019-03-03T17:56:27.664202,3.6,11.2
2019-03-03T17:56:28.766344,3.5,10.8
2019-03-03T17:56:29.869573,3.5,11.0
2019-03-03T17:56:30.970592,3.6,11.4
2019-03-03T17:56:32.076667,3.7,12.1
2019-03-03T17:56:33.178862,3.7,12.2
2019-03-03T17:56:34.281322,3.6,12.0
2019-03-03T17:56:35.383312,3.6,12.4
2019-03-03T17:56:36.485677,3.7,12.7
2019-03-03T17:56:37.587798,3.7,12.3
2019-03-03T17:56:38.689940,3.7,12.3
2019-03-03T17:56:39.792135,3.8,13.4
2019-03-03T17:56:40.894283,4.1,13.6
2019-03-03T17:56:41.996334,4.0,13.5
2019-03-03T17:56:43.102606,4.0,13.8
2019-03-03T17:56:44.204929,4.1,13.9
2019-03-03T17:56:45.306883,3.9,13.7
2019-03-03T17:56:46.409076,4.2,13.9
2019-03-03T17:56:47.511363,4.3,14.0
2019-03-03T17:56:48.613432,4.3,14.1
2019-03-03T17:56:49.715645,4.4,14.3
2019-03-03T17:56:50.818908,4.5,14.4
2019-03-03T17:56:51.920129,4.5,14.6
2019-03-03T17:56:53.022222,4.6,14.7
2019-03-03T17:56:54.128712,4.7,14.0
2019-03-03T17:56:55.230674,4.6,14.9
2019-03-03T17:56:56.333057,4.5,15.1
2019-03-03T17:56:57.435194,4.4,15.0
2019-03-03T17:56:58.537295,4.4,15.2
2019-03-03T17:56:59.639657,4.4,15.1
2019-03-03T17:57:00.742166,4.4,14.8
2019-03-03T17:57:01.844270,4.5,15.1
2019-03-03T17:57:02.946315,4.4,14.7
2019-03-03T17:57:04.048705,4.4,14.5
2019-03-03T17:57:05.154906,4.7,15.6
2019-03-03T17:57:06.257244,4.6,15.3
2019-03-03T17:57:07.359247,4.8,15.7
2019-03-03T17:57:08.461310,4.9,15.7
2019-03-03T17:57:09.563329,4.8,14.7
2019-03-03T17:57:10.665477,4.6,14.6
2019-03-03T17:57:11.767567,4.7,14.8
2019-03-03T17:57:12.869752,4.7,14.4
2019-03-03T17:57:13.971746,4.7,14.4
2019-03-03T17:57:15.073900,4.7,15.0
2019-03-03T17:57:16.180031,4.5,14.5
2019-03-03T17:57:17.282116,4.5,14.8
2019-03-03T17:57:18.384575,4.5,14.9
2019-03-03T17:57:19.486595,4.4,14.7
2019-03-03T17:57:20.588764,4.4,14.7
2019-03-03T17:57:21.690840,4.4,14.5
2019-03-03T17:57:22.792986,4.4,14.7
