datetime,dewptAvg,dewptHigh,dewptLow,heatindexAvg,heatindexHigh,heatindexLow,precipRate,precipTotal,pressureMax,pressureMin,pressureTrend,tempAvg,tempHigh,tempLow,windchillAvg,windchillHigh,windchillLow,windgustAvg,windgustHigh,windgustLow,windspeedAvg,windspeedHigh,windspeedLow
2019-08-18 00:00:04,39.7,39.7,39.7,74.7,74.7,74.7,0.0,0.0,29.59,29.59,,76.1,76.1,76.1,76.1,76.1,76.1,8.0,8.0,8.0,3.0,3.0,3.0
2019-08-18 00:15:02,39.8,39.8,39.8,72.6,72.6,72.6,0.0,0.0,29.59,29.59,,74.1,74.1,74.1,74.1,74.1,74.1,4.0,4.0,4.0,1.0,1.0,1.0
2019-08-18 00:30:02,39.7,39.7,39.7,74.7,74.7,74.7,0.0,0.0,29.59,29.59,,76.1,76.1,76.1,76.1,76.1,76.1,9.0,9.0,9.0,5.0,5.0,5.0
2019-08-18 00:45:02,39.9,39.9,39.9,73.8,73.8,73.8,0.0,0.0,29.59,29.59,,75.3,75.3,75.3,75.3,75.3,75.3,9.0,9.0,9.0,2.0,2.0,2.0
2019-08-18 01:00:02,39.5,39.5,39.5,71.2,71.2,71.2,0.0,0.0,29.59,29.59,,72.8,72.8,72.8,72.8,72.8,72.8,6.0,6.0,6.0,2.0,2.0,2.0
2019-08-18 01:15:02,39.1,39.1,39.1,69.6,69.6,69.6,0.0,0.0,29.59,29.59,,71.3,71.3,71.3,71.3,71.3,71.3,7.0,7.0,7.0,2.0,2.0,2.0
2019-08-18 01:30:02,39.2,39.2,39.2,69.7,69.7,69.7,0.0,0.0,29.59,29.59,,71.4,71.4,71.4,71.4,71.4,71.4,7.0,7.0,7.0,2.0,2.0,2.0
2019-08-18 01:45:02,39.8,39.8,39.8,70.5,70.5,70.5,0.0,0.0,29.59,29.59,,72.1,72.1,72.1,72.1,72.1,72.1,6.0,6.0,6.0,1.0,1.0,1.0
2019-08-18 02:00:02,39.7,39.7,39.7,69.4,69.4,69.4,0.0,0.0,29.59,29.59,,71.1,71.1,71.1,71.1,71.1,71.1,6.0,6.0,6.0,1.0,1.0,1.0
2019-08-18 02:15:02,39.3,39.3,39.3,68.9,68.9,68.9,0.0,0.0,29.59,29.59,,70.6,70.6,70.6,70.6,70.6,70.6,6.0,6.0,6.0,2.0,2.0,2.0
2019-08-18 02:30:02,39.6,39.6,39.6,69.2,69.2,69.2,0.0,0.0,29.59,29.59,,70.9,70.9,70.9,70.9,70.9,70.9,7.0,7.0,7.0,3.0,3.0,3.0
2019-08-18 02:45:02,38.8,38.8,38.8,68.2,68.2,68.2,0.0,0.0,29.6,29.6,,70.0,70.0,70.0,70.0,70.0,70.0,7.0,7.0,7.0,4.0,4.0,4.0
2019-08-18 03:00:02,38.9,38.9,38.9,69.2,69.2,69.2,0.0,0.0,29.6,29.6,,69.2,69.2,69.2,69.2,69.2,69.2,6.0,6.0,6.0,2.0,2.0,2.0
2019-08-18 03:15:02,39.3,39.3,39.3,68.8,68.8,68.8,0.0,0.0,29.6,29.6,,68.8,68.8,68.8,68.8,68.8,68.8,5.0,5.0,5.0,2.0,2.0,2.0
2019-08-18 03:30:02,39.3,39.3,39.3,68.8,68.8,68.8,0.0,0.0,29.61,29.61,,68.8,68.8,68.8,68.8,68.8,68.8,6.0,6.0,6.0,2.0,2.0,2.0
2019-08-18 03:45:02,39.4,39.4,39.4,69.0,69.0,69.0,0.0,0.0,29.61,29.61,,69.0,69.0,69.0,69.0,69.0,69.0,8.0,8.0,8.0,3.0,3.0,3.0
2019-08-18 04:00:02,40.2,40.2,40.2,69.8,69.8,69.8,0.0,0.0,29.61,29.61,,69.8,69.8,69.8,69.8,69.8,69.8,9.0,9.0,9.0,4.0,4.0,4.0
2019-08-18 04:15:02,39.7,39.7,39.7,68.5,68.5,68.5,0.0,0.0,29.61,29.61,,70.2,70.2,70.2,70.2,70.2,70.2,8.0,8.0,8.0,3.0,3.0,3.0
2019-08-18 04:30:02,39.9,39.9,39.9,68.7,68.7,68.7,0.0,0.0,29.61,29.61,,70.4,70.4,70.4,70.4,70.4,70.4,8.0,8.0,8.0,4.0,4.0,4.0
2019-08-18 04:45:02,40.6,40.6,40.6,68.6,68.6,68.6,0.0,0.0,29.61,29.61,,70.3,70.3,70.3,70.3,70.3,70.3,9.0,9.0,9.0,4.0,4.0,4.0
2019-08-18 05:00:02,41.1,41.1,41.1,68.3,68.3,68.3,0.0,0.0,29.61,29.61,,70.0,70.0,70.0,70.0,70.0,70.0,9.0,9.0,9.0,3.0,3.0,3.0
2019-08-18 05:15:02,40.8,40.8,40.8,69.7,69.7,69.7,0.0,0.0,29.61,29.61,,69.7,69.7,69.7,69.7,69.7,69.7,10.0,10.0,10.0,4.0,4.0,4.0
2019-08-18 05:30:02,40.3,40.3,40.3,69.1,69.1,69.1,0.0,0.0,29.62,29.62,,69.1,69.1,69.1,69.1,69.1,69.1,8.0,8.0,8.0,4.0,4.0,4.0
2019-08-18 05:45:01,38.8,38.8,38.8,67.4,67.4,67.4,0.0,0.0,29.62,29.62,,67.4,67.4,67.4,67.4,67.4,67.4,6.0,6.0,6.0,3.0,3.0,3.0
2019-08-18 06:00:01,38.3,38.3,38.3,65.2,65.2,65.2,0.0,0.0,29.62,29.62,,65.2,65.2,65.2,65.2,65.2,65.2,7.0,7.0,7.0,4.0,4.0,4.0
2019-08-18 06:15:01,38.1,38.1,38.1,63.5,63.5,63.5,0.0,0.0,29.62,29.62,,63.5,63.5,63.5,63.5,63.5,63.5,5.0,5.0,5.0,3.0,3.0,3.0
